RU;75;1702;TransparentCalls;0.75;455;33;16
US;18;1409;E-Voice;0.77;782;19;24
GB;79;1338;TransparentCalls;0.64;864;58;46
FR;29;1388;TransparentCalls;0.62;202;49;28
BL;61;63;E-Voice;0.83;59;79;32
AT;82;191;TransparentCalls;0.82;968;43;51
BG;58;124;E-Voice;0.62;578;40;3
DK;68;1489;JustPhone;0.72;977;65;40
CA;8;1532;JustPhone;0.92;652;87;9
ES;86;1738;E-Voice;0.91;701;87;6
CH;91;928;JustPhone;0.64;338;7;9
TR;45;893;TransparentCalls;0.62;686;19;22
PE;81;1679;JustPhone;0.93;610;55;7
NZ;54;834;JustPhone;0.75;290;54;59
MC;1;456;E-Voice;0.81;857;88;10
